"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C3","100uF 50v","","Capacitor_SMD:C_1206_3216Metric","1",""
"C4","10uF 25v","","Capacitor_SMD:C_1206_3216Metric","1",""
"D1","LED","","LED_THT:LED_D5.0mm","1",""
"J1","GPIO","","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1",""
"J2","x axis motor","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","1",""
"J3","Z axis motor","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","1",""
"J4","x axis enc","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","1",""
"J5","z axis enc","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","1",""
"J6","Pot","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-3-2.54_1x03_P2.54mm_Horizontal","1",""
"J7","Limit switches","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal","1",""
"J8","Screw_Terminal_01x02","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal","1",""
"J9","Barrel_Jack_Switch","","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"Q1","Q_PMOS_GSD","","Package_TO_SOT_SMD:SOT-23","1",""
"Q2,Q3","DMMT5401","https://www.diodes.com/assets/Datasheets/ds30437.pdf","Package_TO_SOT_SMD:SOT-23-6","2",""
"R3","10K","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R4","22K","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1",""
"R5,R6,R7,R8,R9","10k","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","5",""
"U2","ADS1115IDGS","http://www.ti.com/lit/ds/symlink/ads1113.pdf","Package_SO:TSSOP-10_3x3mm_P0.5mm","1",""
"U3,U4","74HC245","http://www.ti.com/lit/gpn/sn74HC245","Package_DIP:DIP-20_W7.62mm_Socket","2",""
"U6","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
